YEAR,JUN,JUL,AUG,SEP,JN-SP
1901,24.5,180.9,227.8,74.4,507.5
1902,64.8,206.2,137.9,117.1,525.9
1903,27.3,208.2,238.7,156,630.2
1904,57,221.6,193.3,68.7,540.5
1905,27.4,151.2,114.5,134.5,427.5
1906,89,183.5,203.9,183.4,659.7
1907,39.1,123.4,257.9,12.6,433.1
1908,41.9,267.5,337.6,69.2,716.1
1909,121.1,288.8,200.6,142.5,753
1910,118.5,175.4,270.8,115.2,679.9
1911,77.9,61.6,145.8,172.5,457.8
1912,33.8,235.8,205.8,81.7,557.2
1913,119.1,149.9,138.8,40.3,448.2
1914,71.5,328.1,177.9,137.7,715.4
1915,54.5,135.8,198,120,508.3
1916,122.7,222.3,288.4,128.7,762.1
1917,135,243.1,268.9,281.4,928.4
1918,70,78,158.2,32.5,338.8
1919,43.6,254.1,241.3,86.8,625.9
1920,87.2,242.6,103.4,38.5,471.6
1921,77.3,168.6,256.2,135.9,638
1922,75.8,247,216.2,184.9,723.8
1923,24.7,226,273.3,94.8,618.7
1924,20.2,250.7,208.6,227.2,706.7
1925,132.8,280.7,164.9,55.8,634.2
1926,18.6,233.7,275.3,143.1,670.7
1927,42.5,237.7,258.3,64.8,603.4
1928,51.9,193.7,160.5,57.7,463.8
1929,70.4,222.8,234.6,28.1,555.8
1930,64.7,267.5,157,79.1,568.2
1931,18.1,204.4,262.4,135.5,620.4
1932,42.7,210.2,208.2,96.4,557.4
1933,120.4,180,247.6,138.6,686.6
1934,96.1,188.4,253.9,78.7,617.1
1935,32.7,225.5,170.9,107.1,536.3
1936,151.7,238.5,197.5,114.9,702.6
1937,65,237.3,138.1,101.7,542.1
1938,144.8,200.2,164.2,48,557.2
1939,78.4,155.1,112.6,105.5,451.6
1940,65.4,180,230.4,54.5,530.2
1941,73.2,109.8,183.4,95.9,462.3
1942,63.4,267.2,266.8,131.5,728.9
1943,48,218.8,236.2,125.2,628.1
1944,61.4,231.7,260.3,68.3,621.6
1945,62.7,239,178.2,184.1,664
1946,92.3,231.9,235.6,52.1,612
1947,38.6,171.5,203.9,219.1,633
1948,42.2,263.4,263.9,107.6,677.2
1949,40.2,258.7,159.3,111.7,569.9
1950,52.4,247.4,223.1,205.1,728.1
1951,52.2,116,184,71.6,423.8
1952,117,205,259,30.7,611.7
1953,75.2,278.9,251.3,98.6,704
1954,38.9,201.6,161.5,200.9,602.8
1955,79.5,189.6,299.9,164.3,733.3
1956,86.2,308.2,233.2,90.1,717.7
1957,55.3,224.7,206.6,110.6,597.1
1958,38,248.4,223.6,215.2,725.2
1959,32.3,274.7,225.9,155.4,688.3
1960,51.1,246.6,250.3,60.2,608.3
1961,88.7,223.6,263.6,160.7,736.6
1962,41.1,195.5,198.3,186.5,621.3
1963,51.9,145.3,226.6,103.7,527.4
1964,60.7,265.9,192.8,132.7,652.1
1965,16.9,171.4,124.3,65.2,377.8
1966,107.2,147,220.9,101.8,576.9
1967,59.7,195.7,278,127.9,661.3
1968,50.9,253.1,166.5,34.4,504.8
1969,28.1,207.1,214.2,119.6,569
1970,104.6,126.4,221.6,145.3,597.9
1971,140.4,209.4,218.8,85,653.7
1972,40.5,136.2,178.7,72.4,427.9
1973,68.8,191.1,299.5,105.9,665.2
1974,60.2,216.3,133.9,43.1,453.4
1975,104,272.1,248.8,156.2,781.2
1976,62.8,183.4,266.8,110.1,623.1
1977,78.4,292.2,157.7,112.8,641.1
1978,113.4,255.1,227.1,113.7,709.3
1979,52.3,183.6,106.9,35.5,378.3
1980,105.3,284.4,175.2,82.6,647.5
1981,66.8,267.4,124.7,84.4,543.3
1982,49.9,147.6,228.6,69.2,495.3
1983,66,217.1,230.1,156.9,670.1
1984,101.5,181.6,213.9,108.3,605.2
1985,44.6,256.5,186.9,108.5,596.4
1986,73,230.1,174.1,56.1,533.4
1987,57.4,88.9,136.5,74.4,357.3
1988,78,316.8,238.6,180.1,813.5
1989,68.8,215.6,187.8,80.1,552.3
1990,66.8,276.4,198,141.1,682.3
1991,56.3,140,226.2,92.4,514.8
1992,35.2,194.2,245.7,157.1,632.1
1993,92.1,246.7,92.3,155.8,586.9
1994,88.5,298.6,257.4,92.5,737
1995,59.7,253.4,276.6,127.4,717.1
1996,151,162.7,316.8,98.5,729.1
1997,78.3,176.2,188.5,55.9,498.9
1998,70.9,177.8,171,110.9,530.7
1999,69.2,191.5,157.5,111.6,529.9
2000,101.8,228.8,146.3,78.3,555.2
2001,138.9,246.4,138.4,44.1,567.9
2002,60.6,56.4,164.6,117.7,399.2
2003,68.2,231.6,199.8,155.1,654.7
2004,78.7,129.1,187.3,49.7,444.8
2005,46.2,254.5,100.7,131.2,532.6
2006,71.7,196,203.4,87.1,558.2
2007,87.4,176.7,175.2,78.2,517.5
2008,165.3,219.1,198.1,83.7,666.2
2009,37.1,146.8,120,85.4,389.3
2010,53.9,219.3,231.1,159.7,664.1
2011,118.5,164.7,235.6,129.5,648.3
2012,21.2,155.4,246.7,134.7,558
2013,153.7,217.3,254,68.2,693.2
2014,31.7,171.3,137.7,163.3,504.1
2015,93.8,235.5,133,57.7,520
2016,64.5,239.5,227.7,54.2,585.9
2017,106.8,233.4,144.1,69.9,554.2
2018,82.2,202.6,196.1,122.7,603.5
2019,52.7,211.9,207.2,119.1,591
2020,77.6,155.2,212.3,58.7,503.8
2021,84.9,197.1,138.4,152.2,572.7
